Date,Shift,Inspector_Name,Part_No,Part_Name,Supplier,Invoice_No,Total_Check_Qty,Total_OK_Qty,Total_NOK_Qty,Proportion,Damage,Burr,Keyway_U_S,Rust_Mark,Line_Mark,MOP_Issue,Dent,Flash,ID_U_S,ID_O_S,Short_Fill,Contamination,Burn_Mark,Blowhole,Unwash,Missing_Holes,Black_colour,Pin_tight,Thread_Issue,Others
2023-03-16,G,Basker,5048902,HOUSING-EXH,Supplier-1,9.02E+11,387,384,3,0.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-17,G,kumaran,5048902,HOUSING-EXH,Supplier-1,9.02E+11,507,504,3,0.01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-21,G,Basker,5048902,HOUSING-EXH,Supplier-1,9.02E+11,263,263,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-22,G,Basker,5048902,HOUSING-EXH,Supplier-1,9.02E+11,264,252,12,0.05,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-25,G,Venkatesh,5048902,HOUSING-EXH,Supplier-1,9.02E+11,506,504,2,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-27,G,Udayakumar,5048902,HOUSING-EXH,Supplier-1,9.02E+11,510,509,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-29,G,Basker,5048902,HOUSING-EXH,Supplier-1,9.02E+11,507,500,7,0.01,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-29,G,kumaran,5048902,HOUSING-EXH,Supplier-1,9.02E+11,1453,1428,25,0.02,14,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,G,Basker,5048902,HOUSING-EXH,Supplier-1,9.02E+11,1865,1796,69,0.04,44,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,G,Basker,5048902,HOUSING-EXH,Supplier-1,9.02E+11,1102,1059,43,0.04,31,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04,G,Venkatesh,5048902,HOUSING-EXH,Supplier-1,9.02E+11,865,834,31,0.04,12,1,9,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-06,G,Udayakumar,5048902,HOUSING-EXH,Supplier-1,9.02E+11,450,445,5,0.01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-08,G,Basker,5048902,HOUSING-EXH,Supplier-1,9.02E+11,672,646,26,0.04,15,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-09,G,kumaran,5048902,HOUSING-EXH,Supplier-1,9.02E+11,547,535,12,0.02,2,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-12,G,Basker,5048902,HOUSING-EXH,Supplier-1,9.02E+11,861,829,32,0.04,24,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-13,G,Basker,5048902,HOUSING-EXH,Supplier-1,9.02E+11,346,344,2,0.01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-16,G,Venkatesh,5048902,HOUSING-EXH,Supplier-1,9.02E+11,1180,1163,17,0.01,10,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-18,G,Udayakumar,5048902,HOUSING-EXH,Supplier-1,9.02E+11,1919,1892,27,0.01,0,5,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
