Date,Shift,Inspector_Name,Part_No,Part_Name,Supplier,Invoice_No,Total_Check_Qty,Total_OK_Qty,Total_NOK_Qty,Proportion,Damage,Burr,Keyway_U_S,Rust_Mark,Line_Mark,MOP_Issue,Dent,Flash,ID_U_S,ID_O_S,Short_Fill,Contamination,Burn_Mark,Blowhole,Unwash,Missing_Holes,Black_colour,Pin_tight,Thread_Issue,Others
2023-03-23,G,Basker,5070471,SLEEVE-CENTER BOLT,Supplier-5,202211291,1000,987,13,0.01,3,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-25,G,Nallappan,5070471,SLEEVE-CENTER BOLT,Supplier-5,2202211304,500,498,2,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-02,G,Basker,5070471,SLEEVE-CENTER BOLT,Supplier-5,202211291,1823,1787,36,0.02,12,14,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04,G,Nallappan,5070471,SLEEVE-CENTER BOLT,Supplier-5,2202211304,1235,1231,4,0.0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-14,G,Basker,5070471,SLEEVE-CENTER BOLT,Supplier-5,202211291,1437,1430,7,0.01,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-16,G,Nallappan,5070471,SLEEVE-CENTER BOLT,Supplier-5,2202211304,1645,1601,44,0.03,5,27,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-15,G,Basker,5042596,VALVE CONTROL,Supplier-5,DS202008102,668,642,26,0.04,5,2,0,0,9,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0
2023-03-18,G,Udayakumar,5039583,VALVE CONTROL,Supplier-5,202211261,750,750,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-20,G,basker,5039583,VALVE CONTROL,Supplier-5,202211272,2456,2450,6,0.0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2023-03-22,G,Venkatesh,5042596,VALVE CONTROL,Supplier-5,DS2022007366,2016,2011,5,0.0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-24,G,Venkatesh,5039583,VALVE CONTROL,Supplier-5,DS2022008548,1207,1200,7,0.01,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-24,G,kumaran,5042596,VALVE CONTROL,Supplier-5,DS2022008406,1440,1440,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-27,G,Thranesh,5039583,VALVE CONTROL,Supplier-5,202211328,2000,2000,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-28,G,Basker,5042596,VALVE CONTROL,Supplier-5,DS202008102,514,489,25,0.05,11,3,1,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-30,G,Udayakumar,5039583,VALVE CONTROL,Supplier-5,202211261,1761,1717,44,0.03,23,7,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-31,G,basker,5039583,VALVE CONTROL,Supplier-5,202211272,599,588,11,0.02,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,G,Venkatesh,5042596,VALVE CONTROL,Supplier-5,DS2022007366,930,896,34,0.04,19,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-03,G,Venkatesh,5039583,VALVE CONTROL,Supplier-5,DS2022008548,1054,1017,37,0.04,11,12,2,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-03,G,kumaran,5042596,VALVE CONTROL,Supplier-5,DS2022008406,1685,1616,69,0.04,52,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-07,G,Thranesh,5039583,VALVE CONTROL,Supplier-5,202211328,1802,1753,49,0.03,22,22,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-04-08,G,Basker,5042596,VALVE CONTROL,Supplier-5,DS202008102,1450,1415,35,0.02,27,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-11,G,Udayakumar,5039583,VALVE CONTROL,Supplier-5,202211261,1965,1892,73,0.04,28,34,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-12,G,basker,5039583,VALVE CONTROL,Supplier-5,202211272,1298,1260,38,0.03,8,0,8,10,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-13,G,Venkatesh,5042596,VALVE CONTROL,Supplier-5,DS2022007366,822,792,30,0.04,19,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-15,G,Venkatesh,5039583,VALVE CONTROL,Supplier-5,DS2022008548,250,245,6,0.02,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-15,G,kumaran,5042596,VALVE CONTROL,Supplier-5,DS2022008406,452,439,13,0.03,8,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-18,G,Thranesh,5039583,VALVE CONTROL,Supplier-5,202211328,304,301,3,0.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
